ORF	cluster	gene_name
YBL024W	ribosome_GO_2	NCL1
YBR022W	ribosome_GO_2	POA1
YDL061C	ribosome_GO_2	RPS29B
YDL134C	ribosome_GO_2	PPH21
YDL191W	ribosome_GO_2	RPL35A
YDR025W	ribosome_GO_2	RPS11A
YDR496C	ribosome_GO_2	PUF6
YFR031C-A	ribosome_GO_2	RPL2A
YGL049C	ribosome_GO_2	TIF4632
YGL078C	ribosome_GO_2	DBP3
YHR034C	ribosome_GO_2	PIH1
YHR203C	ribosome_GO_2	RPS4B
YJR066W	ribosome_GO_2	TOR1
YLR401C	ribosome_GO_2	DUS3
YLR435W	ribosome_GO_2	TSR2
YML063W	ribosome_GO_2	RPS1B
YMR080C	ribosome_GO_2	NAM7
YMR247C	ribosome_GO_2	RKR1
YMR269W	ribosome_GO_2	TMA23
YMR282C	ribosome_GO_2	AEP2
YMR283C	ribosome_GO_2	RIT1
YMR285C	ribosome_GO_2	NGL2
YNL001W	ribosome_GO_2	DOM34
YNL227C	ribosome_GO_2	JJJ1
YNL255C	ribosome_GO_2	GIS2
YNL292W	ribosome_GO_2	PUS4
YOL093W	ribosome_GO_2	TRM10
YOL111C	ribosome_GO_2	MDY2
YPL079W	ribosome_GO_2	RPL21B
YPL090C	ribosome_GO_2	RPS6A
YPL212C	ribosome_GO_2	PUS1
YPL239W	ribosome_GO_2	YAR1
YPR043W	ribosome_GO_2	RPL43A
YAL020C	ribosome_GO_1	ATS1
YAL026C	ribosome_GO_1	DRS2
YBL027W	ribosome_GO_1	RPL19B
YBL072C	ribosome_GO_1	RPS8A
YBL087C	ribosome_GO_1	RPL23A
YBR031W	ribosome_GO_1	RPL4A
YBR181C	ribosome_GO_1	RPS6B
YCL037C	ribosome_GO_1	SRO9
YCR031C	ribosome_GO_1	RPS14A
YDL006W	ribosome_GO_1	PTC1
YDL033C	ribosome_GO_1	SLM3
YDL082W	ribosome_GO_1	RPL13A
YDL083C	ribosome_GO_1	RPS16B
YDL130W	ribosome_GO_1	RPP1B
YDL136W	ribosome_GO_1	RPL35B
YDL175C	ribosome_GO_1	AIR2
YDL213C	ribosome_GO_1	NOP6
YDL224C	ribosome_GO_1	WHI4
YDR083W	ribosome_GO_1	RRP8
YDR101C	ribosome_GO_1	ARX1
YDR159W	ribosome_GO_1	SAC3
YDR293C	ribosome_GO_1	SSD1
YDR378C	ribosome_GO_1	LSM6
YDR477W	ribosome_GO_1	SNF1
YEL043W	ribosome_GO_1	YEL043W
YEL047C	ribosome_GO_1	FRD1
YER002W	ribosome_GO_1	NOP16
YFL001W	ribosome_GO_1	DEG1
YFL023W	ribosome_GO_1	BUD27
YFR009W	ribosome_GO_1	GCN20
